number,title,lyrics,genre
01,Đọc,Bốn thầy trò lên núi tụng kinh cái bụng trình ình là chư bát giới\ncái tai phơi phới là quỷ sa tăng\n cái mặt hay nhăn là đường tam tạng\ncái tính liều mạng là tôn ngô không\nngười cầm cái bát phật tổ như lai\nhóa phép bàn tai nhốt anh khỉ đột,Đọc
11,Bắc kim thang,Bắc kim thang cà lang bí rợ\nCột qua kèo là kèo qua cột,Hát
21,Năm anh em trên một chiếc xe tăng,Năm anh em trên một chiếc xe tăng\nnhư năm bông hoa nở cùng một cội\nNhư năm ngón tay trên một bàn tay\nđã xung trận cả năm người như một,Hát
31,Đọc,Con gái nói có là không con gái nói không là có\nCon gái nói một là hai con gái nói hai là một,Đọc
02,Ru lại câu hò,Buồn thương chiếc áo năm nào rách đôi bờ vai\nchị hai cứ ngóng trông hoài bóng con đò xưa\nbiết người xưa kia giờ sang sông\nbiết người ra đi mà vẫn mong\nnhung nhớ đêm dài tóc chị giờ thành highlight,Hát
12,Mắt nai ơi,Một nụ hồng một nụ hồng tặng cho mắt nai,Hát
03,Đọc,Khi xưa Alibaba như vầng trăng sáng chiếu trên trần gian Alibaba\nHôm nay Alibaba như chàng dũng sĩ hát vang lời ca Alibaba,Đọc
13,Cây đàn sinh viên,Thời sinh viên có cây đàn ghi-ta \nđàn ngân lên chúng ta cùng hòa ca có anh bạn xa nhà\ncó cô bạn nhớ cha cất vang cùng lời ca...,Hát
23,Người hãy quên em đi,Người hãy quên em đi\nVà đừng yêu em nữa\nNếu anh không còn gì để vương vấn\nNgười hãy quên em đi\nĐừng chờ mong chi nữa\nTiếc thương gì cho lòng thêm xót xa,Hát
33,Cô đơn trên sofa,Để em được ngã lưng lên một chiếc sofa\nĐể nghe một phút tim yên bình đến kỳ lạ\nĐể em được sống vô tư như một bông hoa\nGiữa bầu trời kiêu sa\nCho em thôi miệt mài nghĩ suy \nNgười ơi hãy nói em nghe một lý do đi\nVì sao lại để em vương sầu trên khoé mi\nVì sao lại biến cô đơn thành giông tố\nNỗi buồn sóng vỗTâm hồn em trôi lênh đênh trong căn phòng.\nRồi lại rơi xuống trên sofa,Hát
43,Tâm sự cùng người lạ,Because I'm too lonely lonely girl\nXung quanh đông vui nhưng anh vẫn thấy sao mình thật cô đơn\nBao nhiêu suy tư hoang mang cứ dồn vào lòng\nChỉ riêng anh thôi\nNên đôi khi anh muốn tâm sự cùng người lạ,Hát
53,Voi con ở bản đôn,Voi con ơi voi con ơi\nMau lớn nhanh có đôi ngà to\nCó sức đi khắp miền rừng xa\nKéo gỗ cho buôn làng của ta,Hát
04,Tình cha,Và con nhớ mãi những ngày tháng qua \nkỷ niệm năm nào khó phai trong lòng \nnhớ hoài tuổi thơ bên cha \ngian khổ ngày đêm chăm lo mong muốn con được lớn khôn,Hát
14,Đọc,Tề Thiên Đại Thánh đại náo Thiên Cung\nlàm đứt dây thung\ntuột cái quần mà chạy chốn,Đọc
24,Đọc,Cá không ăn muối cá ươn\ncon cãi cha mẹ trăm đường con hư,Đọc
34,Đọc,Tôi bắt con nai con nai chạy chốn,Đọc
05,Tơ Hồng,Em yêu ơi về quê anh nhé mùa gió lên con nước vơi đầy\nMột con sông ngày đục đêm trong\nmột lều tranh\nta sống trăm năm,Hát
15,Người tính trăm năm,Bầu trời nhiều sao sáng đêm nay\nnhiều như những gì mình đã có\nMột lần đã chọn vẹn ái ân\nvới anh em mãi là người tình trăm năm.,Hát
25,Trái tim em cũng biết đau,Lời biệt ly buồn đến mấy cũng không thể nào\nLàm cho em gục ngã đến mức tuyệt vọng\nChỉ là vết thương sâu một chút thôi anh à\nNgày mà anh tìm đến em tin anh thật lòng\nVà yêu em bằng những cảm xúc tự nguyện\nLàm em quá yêu nên mù quáng đến yếu lòng\nLà ngày chúng ta bắt đầu những sai lầm,Hát
35,Em gái mưa,Đừng lo lắng về em khi mà em vẫn còn yêu anh\nCàng xa lánh càng trống vắng tim cứ đau và nhớ lắm,Hát
